beijing,CN101010100
jiangyou,CN101270408
fucheng,CN101270409
youxian,CN101270410
anzhou,CN101270411
nanchong,CN101270501
nanbu,CN101270502
yingshan,CN101270503
pengan,CN101270504
yilong,CN101270505
xichong,CN101270506
langzhong,CN101270507
shunqing,CN101270508
gaoping,CN101270509
jialing,CN101270510
dazhou,CN101270601
xuanhan,CN101270602
kaijiang,CN101270603
dazhu,CN101270604
quxian,CN101270605
wanyuan,CN101270606
tongchuan,CN101270607
dachuan,CN101270608
suining,CN101270701
pengxi,CN101270702
shehong,CN101270703
chuanshan,CN101270704
anju,CN101270705
daying,CN101270706
guangan,CN101270801
yuechi,CN101270802
wusheng,CN101270803
linshui,CN101270804
huaying,CN101270805
qianfeng,CN101270806
bazhong,CN101270901
tongjiang,CN101270902
nanjiang,CN101270903
pingchang,CN101270904
bazhou,CN101270905
enyang,CN101270906
luzhou,CN101271001
jiangyang,CN101271002
luxian,CN101271003
hejiang,CN101271004
xuyong,CN101271005
gulin,CN101271006
naxi,CN101271007
longmatan,CN101271008
yibin,CN101271101
cuiping,CN101271102
yibinxian,CN101271103
nanxi,CN101271104
jiangan,CN101271105
changning,CN101271106
gaoxian,CN101271107
gongxian,CN101271108
junlian,CN101271109
xingwen,CN101271110
pingshan,CN101271111
neijiang,CN101271201
dongxing,CN101271202
weiyuan,CN101271203
zizhong,CN101271204
longchang,CN101271205
shizhong,CN101271206
ziyang,CN101271301
anyue,CN101271302
lezhi,CN101271303
yanjiang,CN101271305
leshan,CN101271401
qianwei,CN101271402
jingyan,CN101271403
jiajiang,CN101271404
muchuan,CN101271405
ebian,CN101271406
mabian,CN101271407
emeishan,CN101271409
shizhong,CN101271410
shawan,CN101271411
wutongqiao,CN101271412
jinkouhe,CN101271413
meishan,CN101271501
renshou,CN101271502
pengshan,CN101271503
hongya,CN101271504
danleng,CN101271505
qingshen,CN101271506
dongpo,CN101271507
liangshan,CN101271601
muli,CN101271603
yanyuan,CN101271604
dechang,CN101271605
huili,CN101271606
huidong,CN101271607
ningnan,CN101271608
puge,CN101271609
xichang,CN101271610
jinyang,CN101271611
zhaojue,CN101271612
xide,CN101271613
mianning,CN101271614
yuexi,CN101271615
ganluo,CN101271616
leibo,CN101271617
meigu,CN101271618
butuo,CN101271619
yaan,CN101271701
mingshan,CN101271702
yingjing,CN101271703
hanyuan,CN101271704
shimian,CN101271705
tianquan,CN101271706
lushan,CN101271707
baoxing,CN101271708
yucheng,CN101271709
ganzi,CN101271801
kangding,CN101271802
luding,CN101271803
danba,CN101271804
jiulong,CN101271805
yajiang,CN101271806
daofu,CN101271807
luhuo,CN101271808
xinlong,CN101271809
dege,CN101271810
baiyu,CN101271811
shiqu,CN101271812
seda,CN101271813
litang,CN101271814
batang,CN101271815
xiangcheng,CN101271816
daocheng,CN101271817
derong,CN101271818
aba,CN101271901
wenchuan,CN101271902
lixian,CN101271903
maoxian,CN101271904
songfan,CN101271905
jiuzhaigou,CN101271906
jinchuan,CN101271907
xiaojin,CN101271908
heishui,CN101271909
maerkang,CN101271910
rangtang,CN101271911
nuoergai,CN101271912
hongyuan,CN101271913
deyang,CN101272001
zhongjiang,CN101272002
guanghan,CN101272003
shifang,CN101272004
mianzhu,CN101272005
luojiang,CN101272006
jingyang,CN101272007
guangyuan,CN101272101
wangcang,CN101272102
qingchuan,CN101272103
jiange,CN101272104
cangxi,CN101272105
lizhou,CN101272106
zhaohua,CN101272107
chaotian,CN101272108
guangzhou,CN101280101
panyu,CN101280102
conghua,CN101280103
zengcheng,CN101280104
huadu,CN101280105
liwan,CN101280106
yuexiu,CN101280107
haizhu,CN101280108
tianhe,CN101280109
baiyun,CN101280110
huangpu,CN101280111
nansha,CN101280112
shaoguan,CN101280201
ruyuan,CN101280202
shixing,CN101280203
wengyuan,CN101280204
lechang,CN101280205
renhua,CN101280206
nanxiong,CN101280207
xinfeng,CN101280208
qujiang,CN101280209
zhenjiang,CN101280210
wujiang,CN101280211
huizhou,CN101280301
boluo,CN101280302
huiyang,CN101280303
huidong,CN101280304
longmen,CN101280305
huicheng,CN101280306
meizhou,CN101280401
xingning,CN101280402
jiaoling,CN101280403
dabu,CN101280404
meijiang,CN101280405
fengshun,CN101280406
pingyuan,CN101280407
wuhua,CN101280408
meixian,CN101280409
shantou,CN101280501
chaoyang,CN101280502
chenghai,CN101280503
nanao,CN101280504
longhu,CN101280505
jinping,CN101280506
haojiang,CN101280507
chaonan,CN101280508
shenzhen,CN101280601
luohu,CN101280602
futian,CN101280603
nanshan,CN101280604
baoan,CN101280605
longgang,CN101280606
yantian,CN101280607
zhuhai,CN101280701
doumen,CN101280702
jinwan,CN101280703
xiangzhou,CN101280704
foshan,CN101280800
shunde,CN101280801
sanshui,CN101280802
nanhai,CN101280803
gaoming,CN101280804
chancheng,CN101280805
zhaoqing,CN101280901
guangning,CN101280902
sihui,CN101280903
duanzhou,CN101280904
deqing,CN101280905
huaiji,CN101280906
fengkai,CN101280907
gaoyao,CN101280908
dinghu,CN101280909
zhanjiang,CN101281001
wuchuan,CN101281002
leizhou,CN101281003
xuwen,CN101281004
lianjiang,CN101281005
chikan,CN101281006
suixi,CN101281007
potou,CN101281008
xiashan,CN101281009
mazhang,CN101281010
jiangmen,CN101281101
kaiping,CN101281103
xinhui,CN101281104
enping,CN101281105
taishan,CN101281106
pengjiang,CN101281107
heshan,CN101281108
jianghai,CN101281109
heyuan,CN101281201
zijin,CN101281202
lianping,CN101281203
heping,CN101281204
longchuan,CN101281205
dongyuan,CN101281206
yuancheng,CN101281207
qingyuan,CN101281301
liannan,CN101281302
lianzhou,CN101281303
lianshan,CN101281304
yangshan,CN101281305
fogang,CN101281306
yingde,CN101281307
qingxin,CN101281308
qingcheng,CN101281309
yunfu,CN101281401
luoding,CN101281402
xinxing,CN101281403
yunan,CN101281404
yuncheng,CN101281405
yunan,CN101281406
chaozhou,CN101281501
raoping,CN101281502
chaoan,CN101281503
xiangqiao,CN101281504
dongguan,CN101281601
zhongshan,CN101281701
yangjiang,CN101281801
yangchun,CN101281802
yangdong,CN101281803
yangxi,CN101281804
jiangcheng,CN101281805
jieyang,CN101281901
jiexi,CN101281902
puning,CN101281903
huilai,CN101281904
jiedong,CN101281905
rongcheng,CN101281906
maoming,CN101282001
gaozhou,CN101282002
huazhou,CN101282003
dianbai,CN101282004
xinyi,CN101282005
maonan,CN101282007
shanwei,CN101282101
haifeng,CN101282102
lufeng,CN101282103
luhe,CN101282104
kunming,CN101290101
wuhua,CN101290102
dongchuan,CN101290103
xundian,CN101290104
jinning,CN101290105
yiliang,CN101290106
shilin,CN101290107
chenggong,CN101290108
fumin,CN101290109
songming,CN101290110
luquan,CN101290111
anning,CN101290112
panlong,CN101290114
guandu,CN101290115
xishan,CN101290116
dali,CN101290201
yunlong,CN101290202
yangbi,CN101290203
yongping,CN101290204
binchuan,CN101290205
midu,CN101290206
xiangyun,CN101290207
weishan,CN101290208
jianchuan,CN101290209
eryuan,CN101290210
heqing,CN101290211
nanjian,CN101290212
honghe,CN101290301
shiping,CN101290302
jianshui,CN101290303
mile,CN101290304
yuanyang,CN101290305
lvchun,CN101290306
kaiyuan,CN101290307
gejiu,CN101290308
mengzi,CN101290309
pingbian,CN101290310
luxi,CN101290311
jinping,CN101290312
hekou,CN101290313
qujing,CN101290401
zhanyi,CN101290402
luliang,CN101290403
fuyuan,CN101290404
malong,CN101290405
shizong,CN101290406
luoping,CN101290407
huize,CN101290408
xuanwei,CN101290409
qilin,CN101290410
baoshan,CN101290501
longyang,CN101290502
longling,CN101290503
sidian,CN101290504
changning,CN101290505
tengchong,CN101290506
wenshan,CN101290601
xichou,CN101290602
maguan,CN101290603
malipo,CN101290604
yanshan,CN101290605
qiubei,CN101290606
guangnan,CN101290607
funing,CN101290608
yuxi,CN101290701
chengjiang,CN101290702
jiangchuan,CN101290703
tonghai,CN101290704
huaning,CN101290705
xinping,CN101290706
yimen,CN101290707
eshan,CN101290708
yuanjiang,CN101290709
hongta,CN101290710
chuxiong,CN101290801
dayao,CN101290802
yuanmou,CN101290803
yaoan,CN101290804
mouding,CN101290805
nanhua,CN101290806
wuding,CN101290807
lufeng,CN101290808
shuangbai,CN101290809
yongren,CN101290810
puer,CN101290901
jinggu,CN101290902
jingdong,CN101290903
lancang,CN101290904
simao,CN101290905
mojiang,CN101290906
jiangcheng,CN101290907
menglian,CN101290908
ximeng,CN101290909
zhenyuan,CN101290911
ninger,CN101290912
zhaotong,CN101291001
ludian,CN101291002
yiliang,CN101291003
zhenxiong,CN101291004
weixin,CN101291005
qiaojia,CN101291006
suijiang,CN101291007
yongshan,CN101291008
yanjin,CN101291009
daguan,CN101291010
shuifu,CN101291011
zhaoyang,CN101291012
lincang,CN101291101
cangyuan,CN101291102
gengma,CN101291103
shuangjiang,CN101291104
fengqing,CN101291105
yongde,CN101291106
yunxian,CN101291107
zhenkang,CN101291108
linxiang,CN101291109
nujiang,CN101291201
fugong,CN101291203
lanping,CN101291204
lushui,CN101291205
gongshan,CN101291207
xianggelila,CN101291301
deqin,CN101291302
weixi,CN101291303
diqing,CN101291305
lijiang,CN101291401
yongsheng,CN101291402
huaping,CN101291403
ninglang,CN101291404
gucheng,CN101291405
yulong,CN101291406
dehong,CN101291501
longchuan,CN101291503
yingjiang,CN101291504
ruili,CN101291506
lianghe,CN101291507
mangshi,CN101291508
jinghong,CN101291601
xishuangbanna,CN101291602
menghai,CN101291603
mengla,CN101291605
nanning,CN101300101
xingning,CN101300102
yongning,CN101300103
hengxian,CN101300104
longan,CN101300105
mashan,CN101300106
shanglin,CN101300107
wuming,CN101300108
binyang,CN101300109
qingxiu,CN101300110
jiangnan,CN101300111
xixiangtang,CN101300112
liangqing,CN101300113
chongzuo,CN101300201
tiandeng,CN101300202
longzhou,CN101300203
pingxiang,CN101300204
daxin,CN101300205
fusui,CN101300206
ningming,CN101300207
jiangzhou,CN101300208
liuzhou,CN101300301
liucheng,CN101300302
chengzhong,CN101300303
luzhai,CN101300304
liujiang,CN101300305
rongan,CN101300306
rongshui,CN101300307
sanjiang,CN101300308
yufeng,CN101300309
liunan,CN101300310
liubei,CN101300311
laibin,CN101300401
xicheng,CN101300402
jinxiu,CN101300403
xiangzhou,CN101300404
wuxuan,CN101300405
heshan,CN101300406
xingbin,CN101300407
guilin,CN101300501
xiufeng,CN101300502
longsheng,CN101300503
yongfu,CN101300504
lingui,CN101300505
xingan,CN101300506
lingchuan,CN101300507
quanzhou,CN101300508
guanyang,CN101300509
yangshuo,CN101300510
gongcheng,CN101300511
pingle,CN101300512
lipu,CN101300513
ziyuan,CN101300514
diecai,CN101300515
xiangshan,CN101300516
qixing,CN101300517
yanshan,CN101300518
wuzhou,CN101300601
tengxian,CN101300602
wanxiu,CN101300603
cangwu,CN101300604
mengshan,CN101300605
cenxi,CN101300606
changzhou,CN101300607
longwei,CN101300608
hezhou,CN101300701
zhaoping,CN101300702
fuchuan,CN101300703
zhongshan,CN101300704
babu,CN101300705
pinggui,CN101300706
guigang,CN101300801
guiping,CN101300802
pingnan,CN101300803
gangbei,CN101300804
gangnan,CN101300805
tantang,CN101300806
yulin,CN101300901
bobai,CN101300902
beiliu,CN101300903
rongxian,CN101300904
luchuan,CN101300905
xingye,CN101300906
yuzhou,CN101300907
fumian,CN101300908
baise,CN101301001
napo,CN101301002
tianyang,CN101301003
debao,CN101301004
jingxi,CN101301005
tiandong,CN101301006
pingguo,CN101301007
longlin,CN101301008
xilin,CN101301009
leye,CN101301010
lingyun,CN101301011
tianlin,CN101301012
youjiang,CN101301013
qinzhou,CN101301101
pubei,CN101301102
lingshan,CN101301103
qinnan,CN101301104
qinbei,CN101301105
hechi,CN101301201
tiane,CN101301202
donglan,CN101301203
bama,CN101301204
huanjiang,CN101301205
luocheng,CN101301206
yizhou,CN101301207
fengshan,CN101301208
nandan,CN101301209
andu,CN101301210
dahua,CN101301211
jinchengjiang,CN101301212
beihai,CN101301301
hepu,CN101301302
haicheng,CN101301304
yinhai,CN101301305
tieshangang,CN101301306
fangchenggang,CN101301401
shangsi,CN101301402
dongxing,CN101301403
gangkou,CN101301404
fangcheng,CN101301405
haikou,CN101310101
xiuying,CN101310102
longhua,CN101310103
qiongshan,CN101310104
meilan,CN101310105
sanya,CN101310201
dongfang,CN101310202
lingao,CN101310203
chengmai,CN101310204
danzhou,CN101310205
changjiang,CN101310206
baisha,CN101310207
qiongzhong,CN101310208
dingan,CN101310209
tunchang,CN101310210
qionghai,CN101310211
wenchang,CN101310212
haitang,CN101310213
baoting,CN101310214
wanning,CN101310215
lingshui,CN101310216
jiyang,CN101310218
tianya,CN101310219
ledong,CN101310221
wuzhishan,CN101310222
yazhou,CN101310223
sansha,CN101310301
xisha,CN101310302
zhongsha,CN101310303
nansha,CN101310304
hongkong,CN101320101
jiulong,CN101320102
xinjie,CN101320103
macao,CN101330101
dangzidao,CN101330102
luhuandao,CN101330103
taibeixian,CN101340101
taoyuan,CN101340102
xinzhu,CN101340103
yilan,CN101340104
gaoxiong,CN101340201
jiayi,CN101340202
tainan,CN101340203
taidong,CN101340204
pingdong,CN101340205
taizhong,CN101340401
miaoli,CN101340402
zhanghua,CN101340403
nantou,CN101340404
hualian,CN101340405
yunlin,CN101340406
